ko_ingredient,en_ingredient,use,score
스테아랄코늄헥토라이트,Stearalkonium Hectorite,분산제(비계면활성제),1.0
소듐하이드록사이드,Sodium Hydroxide,"변성제, pH 조절제",4.0
말토덱스트린,Maltodextrin,"흡수제, 결합제, 유화안정제, 피막형성제, 모발컨디셔닝제, 피부컨디셔닝제, 현탁화제(비계면활성)",1.0
벤질살리실레이트,Benzyl Salicylate,"착향제, 변색방지제",5.0
에틸헥실스테아레이트,Ethylhexyl Stearate,피부컨디셔닝제(유연제),1.0
펜틸렌글라이콜,Pentylene Glycol,"피부컨디셔닝제, 용제",1.0
다이메티콘피이지-7포스페이트,Dimethicone PEG-7 Phosphate,"계면활성제(세정제), 계면활성제(유화제)",3.0
레시틴,Lecithin,"피부컨디셔닝제(기타), 계면활성제(유화제)",2.0
폴리글리세릴-10데카아이소스테아레이트,Polyglyceryl-10 Decaisostearate,피부컨디셔닝제(유연제),1.0
하이드로제네이티드코코넛오일,Hydrogenated Coconut Oil,피부컨디셔닝제(수분차단제),1.0
탤크,Talc,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제, 피부보호제, 미끄럼개선제",8.0
포타슘알룸,Potassium Alum,수렴제,2.0
보이차가루,,피부컨디셔닝제(기타),
카올린,Kaolin,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제, 피부보호제, 미끄럼개선제",1.0
소목껍질추출물,Caesalpinia Sappan Bark Extract,피부컨디셔닝제(기타),1.0
아스코빅애씨드,Ascorbic Acid,"산화방지제, 착향제, pH 조절제, 피부컨디셔닝제",
비스-베헤닐/아이소스테아릴/피토스테릴다이머다이리놀레일다이머다이리놀리에이트,Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate,"헤어컨디셔닝제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",
아이소트라이데실아이소노나노에이트,Isotridecyl Isononanoate,피부컨디셔닝제(유연제),1.0
메도우폼델타-락톤,Meadowfoam Delta-Lactone,"모발컨디셔닝제, 피부유연화제",1.0
트라이아이소스테아린,Triisostearin,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
피토스테릴이소스테아릴다이머디리놀리에이트,Phytosteryl Isostearyl Dimer Dilinoleate,"결합제, 모발컨디셔닝제, 피부유연화제, 수분증발차단제, 점증제-비수용성",1.0
실리카실릴레이트,Silica Silylate,"기포방지제, 벌킹제, 피부유연화제, 현탁화제-비계면활성제",1.0
다이에틸헥실시링질리덴말로네이트,Diethylhexyl Syringylidenemalonate,산화방지제,1.0
장미꽃오일,Rose Flower Oil,향료,3.0
메도우폼씨오일,Limnanthes Alba (Meadowfoam) Seed Oil,수분증발차단제,1.0
세틸에틸헥사노에이트,Cetyl Ethylhexanoate,"피부컨디셔닝제(유연제), 용제",1.0
피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트,Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate,수분증발차단제,
아스코빌테트라이소팔미테이트,Ascorbyl Tetraisopalmitate,"산화방지제, 피부유연화제, 미백개선(기능성화장품)",1.0
땅콩오일,Arachis Hypogaea (Peanut) Oil,피부컨디셔닝제(수분차단제),2.0
마카다미아씨오일폴리글리세릴-6에스터스베헤네이트,Macadamia Seed Oil Polyglyceryl-6 Esters Behenate,피부컨디셔닝제(유연제),1.0
조류추출물,Algae Extract,"착향제, 보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
카라기난,Carrageenan,"향료, 모발컨디셔닝제",1.0
프로필렌글라이콜,Propylene Glycol,"착향제, 보습제, 피부보습제, 피부컨디셔닝제, 용제, 점도감소제",3.0
브이피/에이코신코폴리머,VP/Eicosene Copolymer,"결합제, 피막형성제, 점도증가제(비수성)",
스테아랄코늄벤토나이트,Stearalkonium Bentonite,분산제(비계면활성제),1.0
코쿰씨버터,Garcinia Indica Seed Butter,피부컨디셔닝제(수분차단제),1.0
수크로오스아세테이트아이소부티레이트,Sucrose Acetate Isobutyrate,가소제,2.0
아프리카망고커넬버터,Irvingia Gabonensis Kernel Butter,피부컨디셔닝제(수분차단제),
하이드로제네이티드코코-글리세라이즈,Hydrogenated Coco-Glycerides,피부컨디셔닝제(유연제),1.0
하이드로제네이티드폴리(C6-14올레핀),Hydrogenated Poly(C6-14 Olefin),"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",
콜레스테릴마카다미에이트,Cholesteryl Macadamiate,"피부컨디셔닝제, 점증제-비수용성",
하이드로제네이티드스타이렌/아이소프렌코폴리머,Hydrogenated Styrene/Isoprene Copolymer,점도증가제(비수성),
울트라마린,Ultramarines;CI 77007,착색제,
아세로라추출물,Malpighia Glabra (Acerola) Fruit Extract,피부컨디셔닝제(기타),
벤조페논-5,Benzophenone-5,변색방지제,4.0
하이드록시옥타코사닐하이드록시스테아레이트,Hydroxyoctacosanyl Hydroxystearate,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
징크옥사이드,Zinc Oxide;CI 77947,"벌킹제(증량제), 피부보호제, 자외선차단제",
판테닐트라이아세테이트,Panthenyl Triacetate,헤어컨디셔닝제,1.0
신남알,Cinnamal,"변성제, 감미제, 착향제",5.0
몽곤고커넬오일,Schinziophyton Rautanenii Kernel Oil,피부컨디셔닝제(유연제),1.0
로즈마리잎추출물,Rosmarinus Officinalis (Rosemary) Leaf Extract,"산화방지제, 착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",1.0
포트마리골드꽃추출물,Calendula Officinalis Flower Extract,"착향제, 피부컨디셔닝제(기타)",
에스에이치-올리고펩타이드-1,sh-Oligopeptide-1,피부컨디셔닝제(기타),1.0
카카오씨버터,Theobroma Cacao (Cocoa) Seed Butter,"착향제, 피부보호제, 피부컨디셔닝제(수분차단제)",1.0
코코넛야자오일,Cocos Nucifera (Coconut) Oil,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",1.0
다이메티콘/비닐다이메티콘크로스폴리머,Dimethicone/Vinyl Dimethicone Crosspolymer,점도증가제(비수성),
트라이실록세인,Trisiloxane,"기포방지제, 피부컨디셔닝제(기타)",2.0
하이드롤라이즈드산호,Hydrolyzed Coral,피부컨디셔닝제(기타),
다이펜타에리스리틸트라이-폴리하이드록시스테아레이트,Dipentaerythrityl Tri-Polyhydroxystearate,"피막형성제, 피부컨디셔닝제(유연제)",
트라이옥틸도데실시트레이트,Trioctyldodecyl Citrate,피부컨디셔닝제(수분차단제),1.0
다이페닐다이메티콘,Diphenyl Dimethicone,"기포방지제, 피부컨디셔닝제(수분차단제)",1.0
에칠헥실살리실레이트,Ethylhexyl Salicylate,"향료, 자외선차단(기능성화장품), 변색방지제",
폴리글리세릴-8데카베헤네이트/카프레이트,Polyglyceryl-8 Decabehenate/Caprate,점도증가제(비수성),
아니스알코올,Anise Alcohol,착향제,4.0
라놀린오일,Lanolin Oil,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",1.0
캐스터아이소스테아레이트석시네이트,Castor Isostearate Succinate,피부컨디셔닝제(기타),1.0
폴리데센,Polydecene,수분증발차단제,1.0
발레이추출물,Hordeum Distichon (Barley) Extract,피부컨디셔닝제(기타),1.0
밀배아추출물,Triticum Vulgare (Wheat) Germ Extract,피부컨디셔닝제,1.0
검정콩추출물,Glycine Max (Soybean) Seed Extract;Glycine Soja (Soybean) Seed Extract,"헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(기타)",
살구씨오일,Prunus Armeniaca (Apricot) Kernel Oil;Kyounin Yu,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
아크릴레이트코폴리머,Acrylates Copolymer,"점착제, 결합제, 피막형성제, 모발고정제, 현탁화제-비계면활성제",2.0
리놀레익애씨드,Linoleic Acid,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",1.0
폴리에틸렌테레프탈레이트,Polyethylene Terephthalate,"피막형성제, 모발고정제, 점도증가제(비수성)",1.0
등색201호,Dibromofluorescein;CI 45370,착색제,
트라이데실트라이멜리테이트,Tridecyl Trimellitate,피부컨디셔닝제(수분차단제),1.0
다이펜타에리스리틸테트라베헤네이트/폴리하이드록시스테아레이트,Dipentaerythrityl Tetrabehenate/Polyhydroxystearate,"보습제, 미끄럼조정제/활택제",
올리브추출물,Olea Europaea (Olive) Fruit Extract,,
밀겨추출물,Triticum Vulgare (Wheat) Bran Extract,피부컨디셔닝제(기타),1.0
폴리메틸메타크릴레이트,Polymethyl Methacrylate,피막형성제,1.0
다이-피피지-3미리스틸에터아디페이트,Di-PPG-3 Myristyl Ether Adipate,"피막형성제, 피부컨디셔닝제(유연제), 용제",
베헤닉애씨드,Behenic Acid,"불투명화제, 계면활성제-세정제",1.0
포타슘설페이트,Potassium Sulfate,점증제-수용성,1.0
구리가루,Copper Powder;CI 77400,착색제,
청동가루,Bronze Powder,착색제,1.0
판테놀,Panthenol,"헤어컨디셔닝제, 용제, 피부컨디셔닝제(보습제)",1.0
마그네슘스테아레이트,Magnesium Stearate,"안티케이킹제, 벌킹제(증량제), 점도증가제(비수성)",1.0
C12-13알킬락테이트,C12-13 Alkyl Lactate,피부유연화제,1.0
세틸알코올,Cetyl Alcohol,"유화안정제, 향료, 불투명화제, 계면활성제-유화제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",1.0
피토스테릴하이드록시스테아레이트,Phytosteryl Hydroxystearate,피부유연화제,1.0
알루미늄하이드록사이드,Aluminum Hydroxide,"불투명화제, 피부보호제",1.0
서양유채씨오일,Brassica Napus Seed Oil,피부컨디셔닝제(유연제),
귤껍질추출물,Citrus Unshiu Peel Extract,피부컨디셔닝제(기타),
난추출물,Orchid Extract,피부컨디셔닝제(기타),1.0
녹차추출물,Camellia Sinensis Leaf Extract,"산화방지제, 수렴제, 향료, 피부유연화제, 피부보습제, 피부컨디셔닝제, 피부보호제, 변색방지제",
동백나무잎추출물,Camellia Japonica Leaf Extract,피부컨디셔닝제(기타),
코치닐선인장열매추출물,Opuntia Coccinellifera Fruit Extract;Nopalea Cochenillifera Fruit Extract,피부컨디셔닝제(기타),
귤오일,Citrus Unshiu Fruit Oil,피부컨디셔닝제(유연제),
하이드로제네이티드올리브오일미리스틸에스터,Hydrogenated Olive Oil Myristyl Esters,"결합제, 유화안정제, 피막형성제, 헤어컨디셔닝제",1.0
C10-18트라이글리세라이즈,C10-18 Triglycerides,"피부컨디셔닝제(수분차단제), 용제",1.0
하이드로제네이티드코튼씨드오일,Hydrogenated Cottonseed Oil,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",5.0
하이드로제네이티드올리브오일데실에스터,Hydrogenated Olive Oil Decyl Esters,"결합제, 유화안정제, 피막형성제, 헤어컨디셔닝제",
세틸에스터,Cetyl Esters,피부유연화제,1.0
캠퍼,Camphor,"변성제, 향료, 가소제",2.0
멘톨,Menthol,"변성제, 감미제, 착향제",1.0
살리실릭애씨드,Salicylic Acid,"변성제, 각질제거제, 향료, 모발컨디셔닝제, 피부컨디셔닝제",3.0
덱스트린팔미테이트,Dextrin Palmitate,"안티케이킹제, 계면활성제(유화제)",1.0
로즈힙열매오일,Rosa Canina Fruit Oil,피부컨디셔닝제(기타),
프로방스장미꽃수,Rosa Centifolia Flower Water,피부컨디셔닝제(기타),
석류씨오일,Punica Granatum Seed Oil,피부컨디셔닝제(유연제),
메틸하이드로제네이티드로지네이트,Methyl Hydrogenated Rosinate,"착향제, 피부컨디셔닝제(유연제), 점도증가제(비수성)",2.0
다이펜타에리스리틸헥사C5-9애씨드에스터,Dipentaerythrityl Hexa C5-9 Acid Esters,"헤어컨디셔닝제, 가소제, 피부컨디셔닝제(기타)",1.0
하이드록시아파타이트,Hydroxyapatite,"스크럽제, 벌킹제",1.0
옐로우스위트클로버추출물,Melilotus Officinalis Extract,"착향제, 피부컨디셔닝제(기타)",
소듐코코일아미노산,Sodium Cocoyl Amino Acids,계면활성제-세정제,1.0
사코신,Sarcosine,피부컨디셔닝제,1.0
포타슘아스파테이트,Potassium Aspartate,피부컨디셔닝제,1.0
마그네슘아스파테이트,Magnesium Aspartate,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
아세틸헥사펩타이드-8,Acetyl Hexapeptide-8,피부컨디셔닝제(보습제),1.0
적색40호,Allura Red AC;CI 16035,착색제,
아스코빌다이팔미테이트,Ascorbyl Dipalmitate,산화방지제,1.0
케이프알로에잎추출물,Aloe Ferox Leaf Extract,피부컨디셔닝제(기타),
콜라겐,Collagen,"모발컨디셔닝제, 피부컨디셔닝제",1.0
그롬웰추출물,Lithospermum Officinale Extract,피부컨디셔닝제(기타),1.0
C14-15다이알킬카보네이트,C14-15 Dialkyl Carbonate,피부컨디셔닝제(유연제),
만주자작나무껍질추출물,Betula Alba Bark Extract,착향제,
자작나무수액,Betula Platyphylla Japonica Juice,피부컨디셔닝제(기타),1.0
수레국화꽃추출물,Centaurea Cyanus Flower Extract,"수렴제, 피부컨디셔닝제",
레몬추출물,Citrus Limon (Lemon) Fruit Extract,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",2.0
라벤더꽃추출물,Lavandula Angustifolia (Lavender) Flower Extract,착향제,1.0
그롬웰뿌리추출물,Lithospermum Officinale Root Extract,피부컨디셔닝제(기타),
단향목부추출물,Santalum Album (Sandalwood) Wood Extract,수분증발차단제,1.0
에탄올,Alcohol,"기포방지제, 수렴제, 착향제, 용제, 점도감소제,",
칼슘카보네이트,Calcium Carbonate;CI 77220,"스크럽제, pH 완충제, 벌킹제, 불투명화제,",
셀룰로오스,Cellulose,"흡수제, 벌킹제, 미끄럼개선제",1.0
하이드로젠다이메티콘,Hydrogen Dimethicone;Dimethicone/Methicone Copolymer,안티케이킹제,
퍼플루오로옥틸트라이에톡시실레인,Perfluorooctyl Triethoxysilane,결합제,4.0
호장근뿌리추출물,Polygonum Cuspidatum Root Extract,산화방지제,
커피콩추출물,Coffea Arabica (Coffee) Seed Extract,"착향제, 피부컨디셔닝제(기타)",
로즈마리추출물,Rosmarinus Officinalis (Rosemary) Extract,피부컨디셔닝제(기타),2.0
로부스타커피씨추출물,Coffea Robusta Seed Extract,피부컨디셔닝제(기타),
복령추출물,Poria Cocos Extract,"안티케이킹제, 피부유연화제, 피부컨디셔닝제, 계면활성제-세정제, 수렴제",
리놀레닉애씨드,Linolenic Acid,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",1.0
소듐디엔에이,Sodium DNA,피부컨디셔닝제,1.0
효모용해추출물,Saccharomyces Lysate Extract,"피부컨디셔닝제(보습제), 피부컨디셔닝제(기타)",1.0
소듐알엔에이,Sodium RNA,피부컨디셔닝제(기타),1.0
아스코빌토코페릴말리에이트,Ascorbyl Tocopheryl Maleate,"산화방지제, 피부유연화제",1.0
알릴메타크릴레이트크로스폴리머,Allyl Methacrylates Crosspolymer,"유화안정제, 불투명화제, 점증제-비수용성",1.0
프로필렌글라이콜다이카프레이트,Propylene Glycol Dicaprate,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
노르다이하이드로구아이아레틱애씨드,Nordihydroguaiaretic Acid,산화방지제,1.0
돌콩단백질,Glycine Soja (Soybean) Protein,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(유화제)",
피토스핑고신,Phytosphingosine,"모발컨디셔닝제, 피부컨디셔닝제",1.0
포스포리피드,Phospholipids,피부컨디셔닝제,1.0
아세틸카르니틴에이치씨엘,Acetyl Carnitine HCl,피부컨디셔닝제,1.0
아이소프로필팔미테이트,Isopropyl Palmitate,"결합제, 착향제, 피부컨디셔닝제(유연제)",1.0
다이아이소스테아릴아디페이트,Diisostearyl Adipate,"가소제, 피부컨디셔닝제(유연제)",1.0
토코페릴리놀리에이트/올리에이트,Tocopheryl Linoleate/Oleate,"산화방지제, 피부컨디셔닝제",
옥틸도데실미리스테이트,Octyldodecyl Myristate,수분증발차단제,1.0
글리세릴로지네이트,Glyceryl Rosinate,"착향제, 피부컨디셔닝제(유연제), 계면활성제(유화제) 제",5.0
에틸렌/브이에이코폴리머,Ethylene/VA Copolymer,"점착제, 결합제, 피막형성제",
